Approved symbol	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)	UniProt ID(supplied by UniProt)
ABCD1P2	26983	ENSG00000215151	
ABCD1P3	26982	ENSG00000261233	
ABCD1P4	26957	ENSG00000225293	
ABCD1P5	642762	ENSG00000214330	
ABCD2	225	ENSG00000173208	Q9UBJ2
ABCD3	5825	ENSG00000117528	P28288
ABCD4	5826	ENSG00000119688	O14678
ABCE1	6059	ENSG00000164163	P61221
ABCF1	23	ENSG00000204574	Q8NE71
ABCF1-DT	107986587		
ABCF2	10061		Q9UG63
ABCF2-H2BE1	114483834		
ABCF2P1	344653	ENSG00000242159	
ABCF2P2	100422059	ENSG00000228769	
ABCF3	55324	ENSG00000161204	Q9NUQ8
ABCG1	9619	ENSG00000160179	P45844
ABCG2	9429	ENSG00000118777	Q9UNQ0
ABCG4	64137	ENSG00000172350	Q9H172
ABCG5	64240	ENSG00000138075	Q9H222
ABCG8	64241	ENSG00000143921	Q9H221
ABCR			
ABHD1	84696	ENSG00000143994	Q96SE0
ABHD2	11057	ENSG00000140526	P08910
ABHD3	171586	ENSG00000158201	Q8WU67
ABHD4	63874	ENSG00000100439	Q8TB40
ABHD5	51099	ENSG00000011198	Q8WTS1
ABHD6	57406	ENSG00000163686	Q9BV23
ABHD8	79575	ENSG00000127220	Q96I13
ABHD10	55347	ENSG00000144827	Q9NUJ1
ABHD11	83451	ENSG00000106077	Q8NFV4
ABHD11-AS1	171022	ENSG00000225969	
ABHD11-AS2			
ABHD12	26090	ENSG00000100997	Q8N2K0
ABHD12B	145447	ENSG00000131969	Q7Z5M8
ABHD13	84945	ENSG00000139826	Q7L211
ABHD14A	25864	ENSG00000248487	Q9BUJ0
ABHD14A-ACY1	100526760	ENSG00000114786	
ABHD14B	84836	ENSG00000114779	Q96IU4
ABHD15	116236	ENSG00000168792	Q6UXT9
ABHD15-AS1	104355133	ENSG00000264031	
ABHD16A	7920	ENSG00000204427	O95870
ABHD16B	140701	ENSG00000183260	Q9H3Z7
ABHD17A	81926	ENSG00000129968	Q96GS6
ABHD17AP1	728917	ENSG00000198658	
ABHD17AP2			
ABHD17AP3	648359	ENSG00000250536	
ABHD17AP4	729495	ENSG00000229107	
ABHD17AP5	91219	ENSG00000263366	
ABHD17AP6	644988	ENSG00000226981	
ABHD17AP7	100133212	ENSG00000260864	
ABHD17AP8	647144	ENSG00000260540	
ABHD17AP9	100132251	ENSG00000261536	
ABHD17B	51104	ENSG00000107362	Q5VST6
ABHD17C	58489	ENSG00000136379	Q6PCB6
ABHD18	80167	ENSG00000164074	Q0P651
ABI1	10006	ENSG00000136754	Q8IZP0
ABI1P1	326268	ENSG00000271484	
ABI2	10152	ENSG00000138443	Q9NYB9
ABI3	51225	ENSG00000108798	Q9P2A4
ABI3BP	25890	ENSG00000154175	Q7Z7G0
ABITRAM	54942	ENSG00000119328	Q9NX38
ABITRAMP1	390403	ENSG00000251106	
ABL1	25	ENSG00000097007	P00519
ABL2	27	ENSG00000143322	P42684
ABLIM1	3983	ENSG00000099204	O14639
ABLIM2	84448	ENSG00000163995	Q6H8Q1
ABLIM3	22885	ENSG00000173210	O94929
ABO	28	ENSG00000175164	P16442
ABR	29	ENSG00000159842	Q12979
ABRA	137735	ENSG00000174429	Q8N0Z2
ABRACL	58527	ENSG00000146386	Q9P1F3
ABRAXAS1	84142	ENSG00000163322	Q6UWZ7
ABRAXAS2	23172	ENSG00000165660	Q15018
ABT1	29777	ENSG00000146109	Q9ULW3
ABT1P1	100420695	ENSG00000250496	
ABTB1	80325	ENSG00000114626	Q969K4
ABTB2	25841	ENSG00000166016	Q8N961
ACAA1	30	ENSG00000060971	P09110
ACAA2	10449	ENSG00000167315	P42765
ACACA	31	ENSG00000278540	Q13085
ACACB	32	ENSG00000076555	O00763
ACAD			
ACAD8	27034	ENSG00000151498	Q9UKU7
ACAD9	28976	ENSG00000177646	Q9H845
ACAD10	80724	ENSG00000111271	Q6JQN1
ACAD11	84129	ENSG00000240303	Q709F0
ACADL	33	ENSG00000115361	P28330
ACADM	34	ENSG00000117054	P11310
ACADS	35	ENSG00000122971	P16219
ACADSB	36	ENSG00000196177	P45954
ACADVL	37	ENSG00000072778	P49748
ACAN	176	ENSG00000157766	P16112
ACAP1	9744	ENSG00000072818	Q15027
ACAP2	23527	ENSG00000114331	Q15057
ACAP2-IT1	100874306	ENSG00000229325	
ACAP3	116983	ENSG00000131584	Q96P50
ACAT1	38	ENSG00000075239	P24752
ACAT2	39	ENSG00000120437	Q9BWD1
ACBD3	64746	ENSG00000182827	Q9H3P7
ACBD3-AS1	107985353	ENSG00000234478	
ACBD4	79777	ENSG00000181513	Q8NC06
ACBD5	91452	ENSG00000107897	Q5T8D3
ACBD6	84320	ENSG00000230124	Q9BR61
ACBD7	414149	ENSG00000176244	Q8N6N7
ACBP			
ACC			
ACCN			
ACCPN			
ACCS	84680	ENSG00000110455	Q96QU6
ACCSL	390110	ENSG00000205126	Q4AC99
ACD	65057	ENSG00000102977	Q96AP0
ACE	1636	ENSG00000159640	P12821
ACE2	59272	ENSG00000130234	Q9BYF1
ACE3P	100129123	ENSG00000224353	
ACER1	125981	ENSG00000167769	Q8TDN7
ACER2	340485	ENSG00000177076	Q5QJU3
ACER2P1	645978	ENSG00000180105	
ACER3	55331	ENSG00000078124	Q9NUN7
ACH			
ACHAP			
ACHE	43	ENSG00000087085	P22303
ACHM1			
ACHM2			
ACHM3			
ACHRD			
ACHRG			
ACIN1	22985	ENSG00000100813	Q9UKV3
ACKR1	2532	ENSG00000213088	Q16570
ACKR2	1238	ENSG00000144648	O00590
ACKR3	57007	ENSG00000144476	P25106
ACKR4	51554	ENSG00000129048	Q9NPB9
ACKR4P1	285737	ENSG00000225415	
ACLS			
ACLY	47	ENSG00000131473	P53396
ACMG			
ACMSD	130013	ENSG00000153086	Q8TDX5
ACNATP	347275	ENSG00000227411	
ACO1	48	ENSG00000122729	P21399
ACO2	50	ENSG00000100412	Q99798
ACOD1	730249	ENSG00000102794	A6NK06
ACOT1	641371	ENSG00000184227	Q86TX2
ACOT2	10965	ENSG00000119673	P49753
ACOT4	122970	ENSG00000177465	Q8N9L9
ACOT6	641372	ENSG00000205669	Q3I5F7
ACOT7	11332	ENSG00000097021	O00154
ACOT8	10005	ENSG00000101473	O14734
ACOT9	23597	ENSG00000123130	Q9Y305
ACOT11	26027	ENSG00000162390	Q8WXI4
ACOT12	134526	ENSG00000172497	Q8WYK0
ACOT13	55856	ENSG00000112304	Q9NPJ3
ACOX1	51	ENSG00000161533	Q15067
ACOX2	8309	ENSG00000168306	Q99424
ACOX3	8310	ENSG00000087008	O15254
ACOXL	55289	ENSG00000153093	Q9NUZ1
ACOXL-AS1	400997	ENSG00000204581	
ACP1	52	ENSG00000143727	P24666
ACP2	53	ENSG00000134575	P11117
ACP3	55	ENSG00000014257	P15309
ACP4	93650	ENSG00000142513	Q9BZG2
ACP5	54	ENSG00000102575	P13686
ACP6	51205	ENSG00000162836	Q9NPH0
ACP7	390928	ENSG00000183760	Q6ZNF0
ACR	49	ENSG00000100312	P10323
ACRBP	84519	ENSG00000111644	Q8NEB7
ACRP1	645529		
ACRV1	56	ENSG00000134940	P26436
ACS3			
ACSBG1	23205	ENSG00000103740	Q96GR2
ACSBG2	81616	ENSG00000130377	Q5FVE4
ACSF2	80221	ENSG00000167107	Q96CM8
ACSF3	197322	ENSG00000176715	Q4G176
ACSL1	2180	ENSG00000151726	P33121
ACSL3	2181	ENSG00000123983	O95573
ACSL3-AS1	105373904	ENSG00000234193	
ACSL4	2182	ENSG00000068366	O60488
ACSL5	51703	ENSG00000197142	Q9ULC5
ACSL6	23305	ENSG00000164398	Q9UKU0
ACSL6-AS1	101927693	ENSG00000223548	
ACSM1	116285	ENSG00000166743	Q08AH1
ACSM2A	123876	ENSG00000183747	Q08AH3
ACSM2B	348158	ENSG00000066813	Q68CK6
ACSM3	6296	ENSG00000005187	Q53FZ2
ACSM4	341392	ENSG00000215009	P0C7M7
ACSM5	54988	ENSG00000183549	Q6NUN0
ACSM5P1	100421779	ENSG00000260762	
ACSM6	142827	ENSG00000173124	Q6P461
ACSS1	84532	ENSG00000154930	Q9NUB1
ACSS2	55902	ENSG00000131069	Q9NR19
ACSS3	79611	ENSG00000111058	Q9H6R3
ACTA1	58	ENSG00000143632	P68133
ACTA2	59	ENSG00000107796	P62736
ACTA2-AS1	100132116	ENSG00000180139	
ACTA3			
ACTB	60	ENSG00000075624	P60709
ACTBL2	345651	ENSG00000169067	Q562R1
ACTBP1	643309	ENSG00000229145	
ACTBP2	62	ENSG00000213763	
ACTBP3	63		
ACTBP4	64		
ACTBP5			
ACTBP6	66	ENSG00000203413	
ACTBP7	67	ENSG00000185607	
ACTBP8	68	ENSG00000220267	
ACTBP9	69	ENSG00000266920	
ACTBP10	446207		
ACTBP11	644220	ENSG00000188460	
ACTBP12	100462767	ENSG00000233125	
ACTBP13	389120	ENSG00000234667	
ACTBP14	389976	ENSG00000229001	
ACTBP15	391334		
ACTC1	70	ENSG00000159251	P68032
ACTE1P	399923		
ACTG1	71	ENSG00000184009	P63261
ACTG1P1	73	ENSG00000178631	
ACTG1P2	74	ENSG00000229129	
ACTG1P3	75	ENSG00000215388	
ACTG1P4	648740	ENSG00000236085	
ACTG1P6	78		
ACTG1P7	79		
ACTG1P8	80		
ACTG1P9	82	ENSG00000229349	
ACTG1P10	83	ENSG00000231340	
ACTG1P11	414754	ENSG00000229465	
ACTG1P12	100418921	ENSG00000226642	
ACTG1P13	100418920	ENSG00000241305	
ACTG1P14	100418910	ENSG00000230581	
ACTG1P15	100418951	ENSG00000259904	
ACTG1P16	100418960	ENSG00000260298	
ACTG1P17	283693	ENSG00000259315	
ACTG1P18	100418924	ENSG00000218475	
ACTG1P19	644160	ENSG00000237999	
ACTG1P20	644961	ENSG00000241547	
ACTG1P21	100131291	ENSG00000232672	
ACTG1P22	100131953	ENSG00000271615	
ACTG1P23	442097	ENSG00000230362	
ACTG1P24	441783	ENSG00000226359	
ACTG1P25	148709		
ACTG2	72	ENSG00000163017	P63267
ACTL2			
ACTL3			
ACTL4			
ACTL5			
ACTL6A	86	ENSG00000136518	O96019
ACTL6B	51412	ENSG00000077080	O94805
ACTL7A	10881	ENSG00000187003	Q9Y615
ACTL7B	10880	ENSG00000148156	Q9Y614
ACTL8	81569	ENSG00000117148	Q9H568
ACTL9	284382	ENSG00000181786	Q8TC94
ACTL10	170487	ENSG00000182584	Q5JWF8
ACTN1	87	ENSG00000072110	P12814
ACTN1-AS1	161159	ENSG00000259062	
ACTN2	88	ENSG00000077522	P35609
ACTN3	89	ENSG00000248746	Q08043
ACTN4	81	ENSG00000130402	O43707
ACTN4P1	344978	ENSG00000213493	
ACTN4P2	391026	ENSG00000214141	
ACTP1	106480335	ENSG00000229890	
ACTR1A	10121	ENSG00000138107	P61163
ACTR1AP1	100287074	ENSG00000233370	
ACTR1B	10120	ENSG00000115073	P42025
ACTR2	10097	ENSG00000138071	P61160
ACTR3	10096	ENSG00000115091	P61158
ACTR3-AS1	101060091		
ACTR3B	57180	ENSG00000133627	Q9P1U1
ACTR3BP1	643050	ENSG00000270242	
ACTR3BP2	440888	ENSG00000226481	
ACTR3BP3	647156	ENSG00000260327	
ACTR3BP4	777774	ENSG00000249283	
ACTR3BP5	399746	ENSG00000227264	
ACTR3BP6	644773	ENSG00000226444	
ACTR3BP7	100289004		
ACTR3C	653857	ENSG00000106526	Q9C0K3
ACTR3P1	100288580		
ACTR3P2	100129013	ENSG00000232267	
ACTR3P3	100128020	ENSG00000242573	
ACTR5	79913	ENSG00000101442	Q9H9F9
ACTR6	64431	ENSG00000075089	Q9GZN1
ACTR6P1	100421495	ENSG00000248915	
ACTR8	93973	ENSG00000113812	Q9H981
ACTR10	55860	ENSG00000131966	Q9NZ32
ACTRT1	139741	ENSG00000123165	Q8TDG2
ACTRT2	140625	ENSG00000169717	Q8TDY3
ACTRT3	84517	ENSG00000184378	Q9BYD9
ACVR1	90	ENSG00000115170	Q04771
ACVR1B	91	ENSG00000135503	P36896
ACVR1C	130399	ENSG00000123612	Q8NER5
ACVR2A	92	ENSG00000121989	P27037
ACVR2B	93	ENSG00000114739	Q13705
ACVR2B-AS1	100128640	ENSG00000229589	
ACVRL1	94	ENSG00000139567	P37023
ACVRLK2			
ACY1	95	ENSG00000243989	Q03154
ACY1L			
ACY3	91703	ENSG00000132744	Q96HD9
ACYP1	97	ENSG00000119640	P07311
ACYP2	98	ENSG00000170634	P14621
AD1			
AD2			
AD3			
AD4			
AD5			
ADA	100	ENSG00000196839	P00813
ADA2	51816	ENSG00000093072	Q9NZK5
ADAD1	132612	ENSG00000164113	Q96M93
ADAD1P1	100422386		
ADAD1P2	100422407	ENSG00000267511	
ADAD2	161931	ENSG00000140955	Q8NCV1
ADAL	161823	ENSG00000168803	Q6DHV7
ADAM1A	8759	ENSG00000229186	
ADAM1B	100420505	ENSG00000226469	
ADAM2	2515	ENSG00000104755	Q99965
ADAM3A	1587	ENSG00000197475	
ADAM3B	1596	ENSG00000260089	
ADAM5	255926	ENSG00000196115	Q6NVV9
ADAM6	8755	ENSG00000271968	
ADAM7	8756	ENSG00000069206	Q9H2U9
ADAM8	101	ENSG00000151651	P78325
ADAM9	8754	ENSG00000168615	Q13443
ADAM10	102	ENSG00000137845	O14672
ADAM11	4185	ENSG00000073670	O75078
ADAM12	8038	ENSG00000148848	O43184
ADAM12-OT1			
ADAM15	8751	ENSG00000143537	Q13444
ADAM17	6868	ENSG00000151694	P78536
ADAM18	8749	ENSG00000168619	Q9Y3Q7
ADAM19	8728	ENSG00000135074	Q9H013
ADAM20	8748	ENSG00000134007	O43506
ADAM20P1	317760	ENSG00000259158	
ADAM20P2	100533671	ENSG00000248574	
ADAM20P3	644325	ENSG00000249162	
ADAM21	8747	ENSG00000139985	Q9UKJ8
ADAM21P1	145241	ENSG00000235812	
ADAM22	53616	ENSG00000008277	Q9P0K1
ADAM23	8745	ENSG00000114948	O75077
ADAM24P	646479	ENSG00000214607	
ADAM28	10863	ENSG00000042980	Q9UKQ2
ADAM29	11086	ENSG00000168594	Q9UKF5
ADAM30	11085	ENSG00000134249	Q9UKF2
ADAM32	203102	ENSG00000197140	Q8TC27
ADAM33	80332	ENSG00000149451	Q9BZ11
ADAMDEC1	27299	ENSG00000134028	O15204
ADAMTS1	9510	ENSG00000154734	Q9UHI8
ADAMTS2	9509	ENSG00000087116	O95450
ADAMTS3	9508	ENSG00000156140	O15072
ADAMTS4	9507	ENSG00000158859	O75173
ADAMTS5	11096	ENSG00000154736	Q9UNA0
ADAMTS6	11174	ENSG00000049192	Q9UKP5
ADAMTS7	11173	ENSG00000136378	Q9UKP4
ADAMTS7P1	390660	ENSG00000274376	
ADAMTS7P2			
ADAMTS7P3	400406	ENSG00000261143	
ADAMTS7P4	642935	ENSG00000218052	
ADAMTS8	11095	ENSG00000134917	Q9UP79
ADAMTS9	56999	ENSG00000163638	Q9P2N4
ADAMTS9-AS1	101929335	ENSG00000241158	
ADAMTS9-AS2	100507098	ENSG00000241684	
ADAMTS10	81794	ENSG00000142303	Q9H324
ADAMTS12	81792	ENSG00000151388	P58397
ADAMTS13	11093	ENSG00000160323	Q76LX8
ADAMTS14	140766	ENSG00000138316	Q8WXS8
ADAMTS15	170689	ENSG00000166106	Q8TE58
ADAMTS16	170690	ENSG00000145536	Q8TE57
ADAMTS17	170691	ENSG00000140470	Q8TE56
ADAMTS18	170692	ENSG00000140873	Q8TE60
ADAMTS19	171019	ENSG00000145808	Q8TE59
ADAMTS19-AS1	103689846	ENSG00000249421	
ADAMTS20	80070	ENSG00000173157	P59510
ADAMTS21			
ADAMTSL1	92949	ENSG00000178031	Q8N6G6
ADAMTSL2	9719	ENSG00000197859	Q86TH1
ADAMTSL3	57188	ENSG00000156218	P82987
ADAMTSL4	54507	ENSG00000143382	Q6UY14
ADAMTSL4-AS1	574406	ENSG00000203804	Q5T5F5
ADAMTSL4-AS2	100289061	ENSG00000237781	
ADAMTSL5	339366	ENSG00000185761	Q6ZMM2
ADAP1	11033	ENSG00000105963	O75689
ADAP2	55803	ENSG00000184060	Q9NPF8
ADAR	103	ENSG00000160710	P55265
ADARB1	104	ENSG00000197381	P78563
ADARB2	105	ENSG00000185736	Q9NS39
ADARB2-AS1	642394	ENSG00000205696	A8MUL3
ADAT1	23536	ENSG00000065457	Q9BUB4
ADAT2	134637	ENSG00000189007	Q7Z6V5
ADAT3	113179	ENSG00000213638	Q96EY9
ADCK1	57143	ENSG00000063761	Q86TW2
ADCK2	90956	ENSG00000133597	Q7Z695
ADCK5	203054	ENSG00000173137	Q3MIX3
ADCP1	106		
ADCP2			
ADCR			
ADCY1	107	ENSG00000164742	Q08828
ADCY2	108	ENSG00000078295	Q08462
ADCY3	109	ENSG00000138031	O60266
ADCY4	196883	ENSG00000129467	Q8NFM4
ADCY5	111	ENSG00000173175	O95622
ADCY6	112	ENSG00000174233	O43306
ADCY6-DT	100506125	ENSG00000257660	
ADCY7	113	ENSG00000121281	P51828
ADCY8	114	ENSG00000155897	P40145
ADCY9	115	ENSG00000162104	O60503
ADCY10	55811	ENSG00000143199	Q96PN6
ADCY10P1	221442	ENSG00000161912	
ADCYAP1	116	ENSG00000141433	P18509
ADCYAP1R1	117	ENSG00000078549	P41586
ADD1	118	ENSG00000087274	P35611
ADD2	119	ENSG00000075340	P35612
ADD3	120	ENSG00000148700	Q9UEY8
ADD3-AS1	100505933	ENSG00000203876	
ADDL			
ADFN			
ADGB	79747	ENSG00000118492	Q8N7X0
ADGRA1	84435	ENSG00000197177	Q86SQ6
ADGRA1-AS1	100128127	ENSG00000256925	
ADGRA2	25960	ENSG00000020181	Q96PE1
ADGRA3	166647	ENSG00000152990	Q8IWK6
ADGRB1	575	ENSG00000181790	O14514
ADGRB2	576	ENSG00000121753	O60241
ADGRB3	577	ENSG00000135298	O60242
ADGRD1	283383	ENSG00000111452	Q6QNK2
ADGRD1-AS1	105755954	ENSG00000256151	
ADGRD2	347088	ENSG00000180264	Q7Z7M1
ADGRE1	2015	ENSG00000174837	Q14246
ADGRE2	30817	ENSG00000127507	Q9UHX3
ADGRE3	84658	ENSG00000131355	Q9BY15
ADGRE4P	326342	ENSG00000268758	Q86SQ3
ADGRE5	976	ENSG00000123146	P48960
ADGRF1	266977	ENSG00000153292	Q5T601
ADGRF2	222611	ENSG00000164393	Q8IZF7
ADGRF3	165082	ENSG00000173567	Q8IZF5
ADGRF4	221393	ENSG00000153294	Q8IZF3
ADGRF5	221395	ENSG00000069122	Q8IZF2
ADGRF5-AS1	101926962	ENSG00000225730	
ADGRF5P1	389740	ENSG00000227582	
ADGRF5P2	441416	ENSG00000204818	
ADGRG1	9289	ENSG00000205336	Q9Y653
ADGRG2	10149	ENSG00000173698	Q8IZP9
ADGRG3	222487	ENSG00000182885	Q86Y34
ADGRG4	139378	ENSG00000156920	Q8IZF6
ADGRG5	221188	ENSG00000159618	Q8IZF4
ADGRG6	57211	ENSG00000112414	Q86SQ4
ADGRG7	84873	ENSG00000144820	Q96K78
ADGRL1	22859	ENSG00000072071	O94910
ADGRL2	23266	ENSG00000117114	O95490
ADGRL3	23284	ENSG00000150471	Q9HAR2
ADGRL3-AS1	101927186	ENSG00000248692	
ADGRL4	64123	ENSG00000162618	Q9HBW9
ADGRV1	84059	ENSG00000164199	Q8WXG9
ADH1A	124	ENSG00000187758	P07327
ADH1B	125	ENSG00000196616	P00325
ADH1C	126	ENSG00000248144	P00326
ADH4	127	ENSG00000198099	P08319
ADH5	128	ENSG00000197894	P11766
ADH5P1			
ADH5P2	343296	ENSG00000232676	
ADH5P3	100131810	ENSG00000223694	
ADH5P4	642443	ENSG00000233859	
ADH5P5	115945146	ENSG00000234865	
ADH6	130	ENSG00000172955	P28332
ADH7	131	ENSG00000196344	P40394
ADHFE1	137872	ENSG00000147576	Q8IWW8
ADI1	55256	ENSG00000182551	Q9BV57
ADI1P1	100130936	ENSG00000235102	
ADI1P2	100288971	ENSG00000250684	
ADI1P3	100288129	ENSG00000258369	
ADIG	149685	ENSG00000182035	Q0VDE8
ADIPOQ	9370	ENSG00000181092	Q15848
ADIPOQ-AS1	100874095	ENSG00000226482	
ADIPOR1	51094	ENSG00000159346	Q96A54
ADIPOR1P1	645220	ENSG00000232497	
ADIPOR1P2	390503	ENSG00000258805	
ADIPOR2	79602	ENSG00000006831	Q86V24
ADIR			
ADIRF	10974	ENSG00000148671	Q15847
ADIRF-AS1	100133190	ENSG00000272734	
ADK	132	ENSG00000156110	P55263
ADL			
ADM	133	ENSG00000148926	P35318
ADM2	79924	ENSG00000128165	Q7Z4H4
ADM5	199800	ENSG00000224420	C9JUS6
ADMLX			
ADMLY			
ADNP	23394	ENSG00000101126	Q9H2P0
ADNP-AS1	101927631	ENSG00000259456	
ADNP2	22850	ENSG00000101544	Q6IQ32
ADO	84890	ENSG00000181915	Q96SZ5
ADORA1	134	ENSG00000163485	P30542
ADORA2A	135	ENSG00000128271	P29274
ADORA2A-AS1	646023	ENSG00000178803	P86434
ADORA2B	136	ENSG00000170425	P29275
ADORA2BP1	137	ENSG00000236136	
ADORA2L1			
ADORA2L2			
ADORA3	140	ENSG00000282608	P0DMS8
ADPGK	83440	ENSG00000159322	Q9BRR6
ADPGK-AS1	100287559	ENSG00000260898	
ADPRH	141	ENSG00000144843	P54922
ADPRHL1	113622	ENSG00000153531	Q8NDY3
ADPRM	56985	ENSG00000170222	Q3LIE5
ADPRS	54936	ENSG00000116863	Q9NX46
ADRA1A	148	ENSG00000120907	P35348
ADRA1B	147	ENSG00000170214	P35368
ADRA1C			
ADRA1D	146	ENSG00000171873	P25100
ADRA2A	150	ENSG00000150594	P08913
ADRA2B	151	ENSG00000274286	P18089
ADRA2C	152	ENSG00000184160	P18825
ADRA2L1			
ADRB1	153	ENSG00000043591	P08588
ADRB2	154	ENSG00000169252	P07550
ADRB2RL1			
ADRB3	155	ENSG00000188778	P13945
ADRM1	11047	ENSG00000130706	Q16186
ADSL	158	ENSG00000239900	P30566
ADSS1	122622	ENSG00000185100	Q8N142
ADSS2	159	ENSG00000035687	P30520
ADT			
ADTAA			
ADTAB			
ADTB1			
ADTB2			
ADTG			
ADTRP	84830	ENSG00000111863	Q96IZ2
AE1			
AE2			
AEBP1	165	ENSG00000106624	Q8IUX7
AEBP2	121536	ENSG00000139154	Q6ZN18
AEMK			
AEN	64782	ENSG00000181026	Q8WTP8
AEPLC			
AEZ			
AF8T			
AFA			
AFAP1	60312	ENSG00000196526	Q8N556
AFAP1-AS1	84740	ENSG00000272620	
AFAP1L1	134265	ENSG00000157510	Q8TED9
AFAP1L2	84632	ENSG00000169129	Q8N4X5
AFCP			
AFD1			
AFDN	4301	ENSG00000130396	P55196
AFDN-DT	653483	ENSG00000198221	Q9Y6Z5
AFF1	4299	ENSG00000172493	P51825
AFF1-AS1	100506746		
AFF2	2334	ENSG00000155966	P51816
AFF2-IT1	100874269	ENSG00000223516	
AFF3	3899	ENSG00000144218	P51826
AFF4	27125	ENSG00000072364	Q9UHB7
AFG1L	246269	ENSG00000135537	Q8WV93
AFG3			
AFG3L1P	172	ENSG00000223959	
AFG3L2	10939	ENSG00000141385	Q9Y4W6
AFG3L2P1	347028	ENSG00000253606	
AFM	173	ENSG00000079557	P43652
AFMID	125061	ENSG00000183077	Q63HM1
